ID,TimeStamp,Area,UserId,Controller,ActivityType,GroupID
8427320,2022-10-10 07:43,WorkLog,157,/WorkLog/WorkLogDailyViewer/ReadEntries,CustomControls,NULL
8427321,2022-10-10 07:43,WorkLog,157,/WorkLog/GetTaskCategoryDetails,CustomControls,2
8427322,2022-10-10 07:43,WorkLog,157,/WorkLog/GetLogEntries,CustomControls,NULL
8427323,2022-10-10 07:43,WorkLog,157,/WorkLog/GetLogEntries,CustomControls,NULL
8427324,2022-10-10 07:43,WorkLog,157,/WorkLog/WorkLogDailyViewer/ReadEntries,CustomControls,NULL
8427325,2022-10-10 07:43,WorkLog,157,/WorkLog/GetTaskCategoryDetails,CustomControls,2
8427326,2022-10-10 07:43,LoginPage,NULL,/Login/Authenticate,LoginAttempt,NULL
8427327,2022-10-10 07:43,Support,1110,/Support/Tickets,MenuAccessed,8
8427328,2022-10-10 07:43,ASTIR,493,/ASTIR/TagDataViewer/SearchTags,SpanClicked,39
8427329,2022-10-10 07:43,ASTIR,493,/ASTIR/TagDataViewer/GetTagDataValues,SpanClicked,39
8427330,2022-10-10 07:43,Support,493,/Support/Tickets/GetAssignedUsers,CustomControls,39
8427331,2022-10-10 07:43,Support,493,/Support/Tickets/GetAllApprovedUsers,CustomControls,39
8427332,2022-10-10 07:43,Support,493,/Support/Tickets/GetAllSupervisor,CustomControls,39
8427333,2022-10-10 07:43,Support,493,/Support/Tickets/GetInformedUsers,CustomControls,39
8427334,2022-10-10 07:43,WorkLog,1065,/WorkLog/CreateLogEntries,CustomControls,13
8427335,2022-10-10 07:43,WorkLog,1065,/WorkLog/GetLogEntries,CustomControls,NULL
8427336,2022-10-10 07:43,Support,493,/Support/Tickets/AddComment,ButtonClicked,39
8427337,2022-10-10 07:43,Support,493,/Support/Tickets/CloseTicket,ButtonClicked,39
8427338,2022-10-10 07:43,WorkLog,1065,/WorkLog/WorkLogDailyViewer/ReadEntries,CustomControls,NULL
8427339,2022-10-10 07:43,Support,493,/Support/Tickets,MenuAccessed,39
8427340,2022-10-10 07:43,WorkLog,1065,/WorkLog/GetLogEntries,CustomControls,NULL
8427341,2022-10-10 07:43,WorkLog,1065,/WorkLog/GetTaskCategoryDetails,CustomControls,13
8427342,2022-10-10 07:43,WorkLog,1065,/WorkLog/GetSiteDetails,CustomControls,13
8427343,2022-10-10 07:43,WorkLog,1065,/WorkLog/GetContractDetails,CustomControls,13
8427344,2022-10-10 07:43,Support,493,/Support/Tickets/LoadTicketSummary,HyperLinkClicked,39
8427345,2022-10-10 07:43,WorkLog,1065,/WorkLog/GetTaskCategoryDetails,CustomControls,13
8427346,2022-10-10 07:43,ASTIR,493,/ASTIR/TagDataViewer/SearchTags,SpanClicked,39
8427347,2022-10-10 07:43,ASTIR,493,/ASTIR/TagDataViewer/GetTagDataValues,SpanClicked,39
8427348,2022-10-10 07:43,Support,493,/Support/Tickets/GetInformedUsers,CustomControls,39
8427349,2022-10-10 07:43,Support,493,/Support/Tickets/GetAllApprovedUsers,CustomControls,39
